Maxtm	VSB	V0    
30	100      1.0

N	Nb	Nt	Ng	Nl
105   108         0.0261        0.0703        0.0922
106   107         0.0530        0.1830        0.0236
108   109         0.0105        0.0288        0.0038
103   110         0.0391        0.1813        0.0231
109   110         0.0278        0.0762        0.0101
110   111         0.0220        0.0755        0.0100
110   112         0.0247        0.0640        0.0310
17   113          0.0091        0.0301        0.0038
32   113          0.0615        0.2030        0.0259
32   114          0.0135        0.0612        0.0081 
27   115          0.0164        0.0741        0.0099
114   115         0.0023        0.0104        0.0014
68    116         0.0003        0.0040        0.0820
12    117         0.0329        0.1400        0.0179
75    118         0.0145        0.0481        0.0060
76    118         0.0164        0.0544        0.0068
5     5   	0.0    		-2.500000	0
17    17	0.0		16.67		0
34    34  	0.0   		7.14285		0
37    37  	0.0    		-4.000000	0
44    44  	0.0   		10.00000	0
45    45  	0.0   		10.00000	0
46    46  	0.0   		10.00000     0
48    48  	0.0   		6.666667     0
74    74  	0.0   		8.333333     0
79    79  	0.0   		5.000000     0
82    82  	0.0   		5.000000     0
83    83  	0.0   		10.0000      0
105   105  	0.0   		5.000000     0
107   107  	0.0   		16.66667     0
110   110  	0.0   		16.66667     0
5     8  0.000000  0.026700  0.985000
25    26  0.000000  0.038200  0.960000
17    30  0.000000  0.038800  0.960000
37    38  0.000000  0.037500  0.935000
59    63  0.000000  0.038600  0.960000
61    64  0.000000  0.026800  0.985000
66    65  0.000000  0.037000  0.935000
69    68  0.000000  0.037000  0.935000
80    81  0.000000  0.037000  0.935000

i   type       		P        Q       	V
69	0	  3.00000    0		   1.035000
1       -1        0.1000     -0.0853       0.9550
4       -1        0.2000     -0.5909       0.9980
6       -1        0.1500      0.0451       0.9900
8       -1        0.1000      0.4450       1.0150
10      -1        4.5000      0.0000	   1.0500
12      -1        0.8500      0.8340       0.9900
15      -1        0.1200      0.0307       0.9700
18      -1        0.1000      0.2670       0.9730
19      -1        0.2000     -0.2057       0.9620
24      -1        0.1500      1.8754       0.9920
25      -1        2.2000      2.4857       1.0500
26      -1        3.1400      0.0844	   1.0150
27      -1        0.1200      0.3585       0.9686
31      -1        0.1000      2.0019       0.9670
32      -1        0.2000     -0.2402       0.9630
34      -1        0.1500     -0.3873       0.9840
36      -1        0.1000     -0.0070       0.9800
40      -1        0.1000      0.2545       0.9700
42      -1        0.1200      0.4005       0.9850
46      -1        0.2000      0.2706       1.0050
49      -1        2.0400      1.3783       1.0083
54      -1        0.4800     -0.2675       0.9550
55      -1        0.1000      0.0160       0.9520
56      -1        0.1200     -0.1180       0.9540
59      -1        1.5500      0.7692       0.9850
61      -1        1.6000     -0.4145	   0.9950
62      -1        0.1500     -0.0296       0.9980
65      -1        3.9100      0.7037	   1.0050
66      -1        3.9200      0.0102       1.0500
70      -1        0.5000     -0.1099       0.9840
72      -1        0.2000     -0.1095       0.9800
73      -1        0.1500      0.0959       0.9910
74      -1        0.1000     -0.0065       0.9580
76      -1        0.1000      0.0164       0.9430
77      -1        0.1200      0.6619       1.0060
80      -1        4.7700      1.3438       1.0400
85      -1        0.2000      0.1205       0.9850
87      -1        0.1500      0.0907	   1.0150
89      -1        6.0700      -0.0485	   1.0050
90      -1        0.1000      0.5909       0.9850
91      -1        0.1200     -0.1308       0.9800
92      -1        0.5000     -0.1793       0.9900
99      -1        0.2000     -0.1717       1.0100
100     -1        2.5200      1.0416       1.0170
103     -1        0.5000      0.6870       1.0100
104     -1        0.1000     -0.0119       0.9710
105     -1        0.1000     -0.1563       0.9650
107     -1        0.1200      0.1180       0.9520
110     -1        0.1200     -0.0141       0.9730
111     -1        0.3600     -0.0184	   0.9800
112     -1        0.1200      0.4151       0.9750
113     -1        0.1200      0.0696       0.9930
116     -1        0.1200      0.5671	   1.0050
1       1        0.5100       0.2700       0.0000
2        1        0.2000      0.0900       0.0000
3        1        0.3900      0.1000       0.0000
4       1        0.9000       0.1200       0.0000
5        1        0.0000      0.0000       0.0000
6       1        0.5200       0.2200       0.0000
7        1        0.1900      0.0200       0.0000
8       1        0.5000       0.0000       0.0000
11       1        0.7000      0.2300       0.0000
12      1        0.3700       0.1000       0.0000
13       1        0.3400       0.1600       0.0000
14       1        0.1400       0.0100       0.0000
15      1        0.9000       0.3000       0.0000
16       1        0.2500       0.1000       0.0000
17       1        0.1100       0.0300       0.0000
18      1        0.6000       0.3400       0.0000
19      1        0.4500       0.2500       0.0000
20       1        0.1800       0.0300       0.0000
21       1        0.1400       0.0800       0.0000
22       1        0.1000       0.0500       0.0000
23       1        0.0700       0.0300       0.0000
24      1        0.0300       2.0000       0.0000
25      1        0.0000       2.0000       0.0000
28       1        0.1700       0.3600       0.0000
29       1        0.2400       0.9900       0.0000
33       1        0.2300       0.0900       0.0000
27      1        0.8200       0.1300       0.0000
31      1        0.4300       0.9900       0.0000
32      1        0.5900       0.2300       0.0000
34      1        0.5900       0.2600       0.0000
36      1        0.3100       0.1700       0.0000
40      1        0.7600       0.2300       0.0000
42      1        1.1000       0.2300       0.0000
46      1        0.2800       0.1000       0.0000
49      1        0.8700       0.3000       0.0000
54      1        0.1300       0.3200       0.0000
55      1        0.6300       0.2200       0.0000
56      1        0.8400       0.1800       0.0000
59      1        2.7700       1.1300       0.0000
62      1        0.7700       0.1400       0.0000
66      1        0.3900       0.1800       0.0000
70      1        0.6600       0.2000       0.0000
72      1        0.3200       0.0000       0.0000
73      1        0.2100       0.0000       0.0000
74      1        0.6800       0.2700       0.0000
76      1        0.6800       0.3600       0.0000
77      1        0.6100       0.2800       0.0000
80      1        1.3000       0.2600       0.0000
85      1        0.2400       0.1500       0.0000
90      1        1.7300       0.4200       0.0000
91      1        0.2200       0.0000       0.0000
92      1        0.6500       0.1000       0.0000
99      1        0.6200       0.0000       0.0000
100     1        0.3700       0.1800       0.0000
103     1        0.2300       0.1600       0.0000
104     1        0.3800       0.2500       0.0000
105     1        0.3100       0.2600       0.0000
107     1        0.6200       0.1200       0.0000
110     1        0.3900       0.3000       0.0000
112     1        0.8000       0.1300       0.0000
113     1        0.1200       0.0000       0.0000
35       1        0.3300       0.0900       0.0000
39       1        0.2700       0.1100       0.0000
41       1        0.3700       0.1000       0.0000
43       1        0.1800       0.0700       0.0000
44       1        0.1600       0.0800       0.0000
45       1        0.5300       0.2200       0.0000
47       1        0.3400       0.0000       0.0000
48       1        0.2000       0.1100       0.0000
50       1        0.1700       0.0400       0.0000
51       1        0.1700       0.0800       0.0000
52       1        0.1800       0.0500       0.0000
53       1        0.2300       0.1100       0.0000
57       1        0.1200       0.0300       0.0000
58       1        0.1200       0.0300       0.0000
60       1        0.7800       0.0300       0.0000
67       1        0.2800       0.0700       0.0000
75       1        0.4700       0.1100       0.0000
78       1        0.7100       0.2600       0.0000
79       1        0.3900       0.3200       0.0000
82       1        0.5400       0.2700       0.0000
83       1        0.2000       0.1000       0.0000
84       1        0.1100       0.0700       0.0000
86       1        0.2100       0.1000       0.0000
88       1        0.4800       0.1000       0.0000
93       1        0.1200       0.0700       0.0000
94       1        0.3000       0.1600       0.0000
95       1        0.4200       0.3100       0.0000
96       1        0.3800       0.1500       0.0000
97       1        0.1500       0.0900       0.0000
98       1        0.3400       0.0800       0.0000
101      1        0.2200       0.1500       0.0000
102      1        0.0500       0.0300       0.0000
106      1        0.4300       0.1600       0.0000
108      1        0.0200       0.0100       0.0000
109      1        0.0800       0.0300       0.0000
114      1        0.0800       0.0300       0.0000
115      1        0.2200       0.0700       0.0000
117      1        0.2000       0.0800       0.0000
118      1        0.3300       0.1500       0.0000
